origin,destination,weekday,start_hour,end_hour,trip_duration,date
2,1,Fri,18,19,35.11,20/3/20
4,4,Sat,16,17,20.08,8/3/20
4,4,Sat,14,14,15.05,8/3/20
1,4,Wed,19,20,35.13,26/3/20
1,3,Sat,7,8,55.24,8/3/20
1,2,Fri,21,22,35.12,20/3/20
3,5,Sun,13,14,25.09,9/3/20
0,3,Tue,7,7,25.09,25/3/20
3,4,Wed,9,10,25.08,26/3/20
1,4,Mon,20,20,15.06,24/3/20
4,3,Wed,7,8,20.07,26/3/20
3,0,Tue,16,16,35.12,25/3/20
4,3,Mon,6,6,10.06,24/3/20
4,1,Sat,12,19,431.51,22/3/20
4,1,Sat,23,0,15.06,8/3/20
0,6,Sat,16,17,15.05,29/3/20
1,4,Sat,13,14,40.17,8/3/20
0,3,Tue,15,16,20.08,1/4/20
4,3,Thu,21,21,15.07,13/3/20
6,0,Sat,17,17,25.08,29/3/20
2,6,Fri,6,7,60.24,20/3/20
7,0,Sat,12,12,40.14,29/3/20
2,4,Tue,18,18,20.08,18/3/20
7,7,Fri,14,18,250.95,20/3/20
1,3,Sun,20,20,10.03,23/3/20
4,4,Sun,10,10,30.1,23/3/20
6,6,Thu,7,8,45.22,6/3/20
3,1,Sat,16,16,35.12,22/3/20
3,3,Sun,22,23,25.09,23/3/20
3,3,Sun,17,17,20.07,16/3/20
4,1,Sun,19,19,35.12,23/3/20
0,4,Wed,11,11,20.08,12/3/20
1,5,Sat,16,17,30.1,22/3/20
4,5,Sun,12,12,20.07,16/3/20
6,4,Sat,17,18,30.13,8/3/20
3,4,Sun,7,14,421.9,16/3/20
1,4,Sun,17,18,25.08,23/3/20
5,4,Tue,16,17,15.08,18/3/20
5,3,Sun,16,16,30.1,16/3/20
4,1,Sun,16,17,65.22,23/3/20
3,5,Fri,14,15,15.05,20/3/20
4,3,Sat,14,14,30.11,22/3/20
4,3,Sat,21,21,25.1,8/3/20
3,6,Sun,12,12,35.14,9/3/20
1,3,Thu,8,8,40.15,20/3/20
